#nr. atom atomtype  charge   mass
GLN
1    N     NH1   -0.47    14.0070
2    HN    H      0.31     1.0080
3    CA    CT1    0.07    12.0110
4    HA    HB1    0.09     1.0080
5    CD    CC     0.55    12.0110
6    OE1   O     -0.55    15.9994
7    NE2   NH2   -0.62    14.0070
8    HE21  H      0.32     1.0080
9    HE22  H      0.30     1.0080
10   CB    CT2   -0.18    12.0110
11   HB1   HA2    0.09     1.0080
12   HB2   HA2    0.09     1.0080
13   CG    CT2   -0.18    12.0110
14   HG1   HA2    0.09     1.0080
15   HG2   HA2    0.09     1.0080
16   C     C      0.51    12.0110
17   O     O     -0.51    15.9994
