#nr. atom atomtype  charge   mass
NAM
1	C1	CC3162	0.34	12.011
2	H1	HCA1	0.09	1.008
3       O1      OC311  -0.65    15.9994
4      HO1      HCP1    0.42    1.008
5	C5	CC3163	0.11	12.011
6	H5	HCA1	0.09	1.008
7	O5	OC3C61 -0.40	15.9994
8	C2	CC3161	0.134	12.011
9	H2	HCA1	0.09	1.008
10	NC	NH1    -0.587	14.007
11	HN	H	0.363	1.008
12	CM	CC	0.55	12.011
13	OM	O      -0.55	15.9994
14	CC	CT3    -0.27	12.011
15	HC1	HA3	0.09	1.008
16	HC2	HA3	0.09	1.008
17	HC3	HA3	0.09	1.008
18	C3	CC3161 -0.024	12.011
19	H3	HCA1	0.09	1.008
20	O3	OC311  -0.406	15.9994
21	CA	CT1	0.25	12.011
22	HA	HB1	0.09	1.008
23	C	C	0.51	12.011
24	O	O      -0.51	15.9994
25	CB	CT3    -0.27	12.011
26	HB1	HA3	0.09	1.008
27	HB2	HA3	0.09	1.008
28	HB3	HA3	0.09	1.008
29	C4	CC3161	0.09	12.011
30	H4	HCA1	0.09	1.008
31	O4	OC301  -0.36	15.9994
32	C6	CC321	0.05	12.011
33	H61	HCA2	0.09	1.008
34	H62	HCA2	0.09	1.008
35	O6	OC311  -0.65	15.9994
36	HO6	HCP1	0.42	1.008
