#nr. atom atomtype  charge   mass
NAM
1	C1	CC3162	0.29	12.011
2	H1	HCA1	0.09	1.008
3	C5	CC3163	0.11	12.011
4	H5	HCA1	0.09	1.008
5	O5	OC3C61 -0.4	15.9994
6	C2	CC3161	0.134	12.011
7	H2	HCA1	0.09	1.008
8	NC	NH1    -0.587	14.007
9	HN	H	0.363	1.008
10	CM	CC	0.55	12.011
11	OM	O      -0.55	15.9994
12	CC	CT3    -0.27	12.011
13	HC1	HA3	0.09	1.008
14	HC2	HA3	0.09	1.008
15	HC3	HA3	0.09	1.008
16	C3	CC3161 -0.024	12.011
17	H3	HCA1	0.09	1.008
18	O3	OC311  -0.406	15.9994
19	CA	CT1	0.25	12.011
20	HA	HB1	0.09	1.008
21	C	C	0.51	12.011
22	O	O      -0.51	15.9994
23	CB	CT3    -0.27	12.011
24	HB1	HA3	0.09	1.008
25	HB2	HA3	0.09	1.008
26	HB3	HA3	0.09	1.008
27	C4	CC3161	0.09	12.011
28	H4	HCA1	0.09	1.008
29	O4	OC301  -0.36	15.9994
30	C6	CC321	0.05	12.011
31	H61	HCA2	0.09	1.008
32	H62	HCA2	0.09	1.008
33	O6	OC311  -0.65	15.9994
34	HO6	HCP1	0.42	1.008
