         367           1       10599           7
        1808           2        5097           3
        2608           2        4035           3
        6131           4        7979           5
        9944           6       11633           7
         367           1       10599           7
         512           1       10716           7
        2608           2        4035           3
        6131           4        7979           5
        6655           4        8372           5
         367           1       10599           7
        2608           2        4035           3
        6131           4        7979           5
        6655           4        8372           5
         381           1       10716           7
        2608           2        4035           3
        4180           3        5738           4
        6131           4        7979           5
        6655           4        8372           5
         367           1       10599           7
        2608           2        4035           3
        4180           3        5738           4
        6131           4        7979           5
        6655           4        8372           5
         512           1       10716           7
        2608           2        4035           3
        4180           3        5738           4
        6131           4        7979           5
        6655           4        8372           5
         774           1       11109           7
        1808           2        5097           3
        2608           2        4035           3
        6131           4        7979           5
        6655           4        8372           5
         774           1       11109           7
        2608           2        4035           3
        6131           4        7979           5
        6655           4        8372           5
         774           1       11109           7
        1808           2        5097           3
        2608           2        4035           3
        6131           4        7979           5
        6655           4        8372           5
         774           1       11109           7
        2608           2        4035           3
        6131           4        7979           5
        6655           4        8372           5
         367           1       10599           7
         774           1       11109           7
        2608           2        4035           3
        6131           4        7979           5
         367           1       10599           7
         774           1       11109           7
        2608           2        4035           3
        4180           3        5738           4
        6131           4        7979           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        2608           2        4035           3
        6131           4        7979           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        2608           2        4035           3
        6131           4        7979           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
        2608           2        4035           3
        4180           3        5738           4
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
        2608           2        4035           3
        3656           3        5345           4
        4180           3        5738           4
         367           1       10599           7
         512           1       10716           7
        2608           2        4035           3
        3656           3        5345           4
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
        1691           1        3249           2
        2608           2        4035           3
        3656           3        5345           4
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        1691           1        3249           2
        1808           2        5097           3
        2608           2        4035           3
         367           1       10599           7
         774           1       11109           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         774           1       11109           7
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        1691           1        3249           2
        1808           2        5097           3
        2608           2        4035           3
        3656           3        5345           4
        6655           4        8372           5
         367           1       10599           7
         774           1       11109           7
        1808           2        5097           3
        2608           2        4035           3
        3656           3        5345           4
        6655           4        8372           5
         367           1       10599           7
         774           1       11109           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        1167           1       11371           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         774           1       11109           7
        1167           1       11371           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         774           1       11109           7
        1808           2        5097           3
        2608           2        4035           3
        5883           4        7441           5
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
        1167           1       11371           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
        1167           1       11371           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        1167           1       11371           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        1167           1       11371           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         774           1       11109           7
        1167           1       11371           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         774           1       11109           7
        1167           1       11371           7
        1808           2        5097           3
        2608           2        4035           3
        6655           4        8372           5
         367           1       10599           7
         774           1       11109           7
        1808           2        5097           3
        1953           2        3773           3
        2608           2        4035           3
         367           1       10599           7
         512           1       10716           7
        1808           2        5097           3
        1953           2        3773           3
        2608           2        4035           3
         367           1       10599           7
         512           1       10716           7
         774           1       10978           7
        1808           2        5097           3
        1953           2        3773           3
        2608           2        4035           3
        6669           4        8227           5
        7586           5        9275           6
         367           1       10599           7
         512           1       10716           7
        1691           1        3249           2
        1808           2        5097           3
        1953           2        3773           3
        2608           2        4035           3
         367           1       10599           7
         512           1       10716           7
        1691           1        3249           2
        1808           2        5097           3
        1953           2        3773           3
        2608           2        4035           3
        6669           4        8227           5
         367           1       10599           7
         512           1       10716           7
        1167           1       11371           7
        1691           1        3249           2
        1808           2        5097           3
        1953           2        3773           3
        2608           2        4035           3
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        1691           1        3249           2
        1808           2        5097           3
        1953           2        3773           3
        2084           2        3773           3
        2608           2        4035           3
        3656           3        5345           4
        6669           4        8227           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        1691           1        3249           2
        1808           2        5097           3
        1953           2        3773           3
        2084           2        3773           3
        2608           2        4035           3
        6669           4        8227           5
         367           1       10599           7
         512           1       10716           7
        1808           2        5097           3
        1953           2        3773           3
        2608           2        4035           3
         367           1       10599           7
        1691           1        3249           2
        1953           2        3773           3
        2608           2        4035           3
        6669           4        8227           5
         367           1       10599           7
        1691           1        3249           2
        1953           2        3773           3
        2608           2        4035           3
         367           1       10599           7
        1691           1        3249           2
        1953           2        3773           3
        2608           2        4035           3
         367           1       10599           7
        1167           1       11371           7
        1691           1        3249           2
        1953           2        3773           3
        2608           2        4035           3
        3656           3        5345           4
         367           1       10599           7
         774           1       11109           7
        1691           1        3249           2
        1953           2        3773           3
        2608           2        4035           3
        3656           3        5345           4
        6669           4        8227           5
         367           1       10599           7
        1691           1        3249           2
        1808           2        5097           3
        1953           2        3773           3
        2084           2        3773           3
        2608           2        4035           3
        2608           2        4166           3
        3656           3        5345           4
        6669           4        8227           5
         367           1       10599           7
        1691           1        3249           2
        1953           2        3773           3
        2608           2        4035           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
         367           1       10599           7
         512           1       10716           7
         774           1       11109           7
        1953           2        3773           3
        2608           2        4035           3
        3656           3        5345           4
        6669           4        8227           5
        7586           5        9275           6
         367           1       10599           7
        1808           2        5097           3
        2608           2        4035           3
        3656           3        5345           4
        6669           4        8227           5
         367           1       10599           7
        1808           2        5097           3
        1953           2        3773           3
        2608           2        4035           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
         367           1       10599           7
        1808           2        5097           3
        1822           2        5083           3
        2608           2        4035           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
         367           1       10599           7
        1808           2        5097           3
        1822           2        5083           3
        1953           2        3773           3
        2084           2        3773           3
        2608           2        4035           3
        3656           3        5345           4
        6669           4        8227           5
         367           1       10599           7
        1808           2        5097           3
        1953           2        3773           3
        2608           2        4035           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
         367           1       10599           7
        1691           1        3249           2
        1808           2        5097           3
        1822           2        5083           3
        1953           2        3773           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
         367           1       10599           7
        1808           2        5097           3
        2608           2        4035           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
         367           1       10599           7
         760           1       10992           7
        2608           2        4035           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
        9944           6       11633           7
         367           1       10599           7
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
        9944           6       11633           7
         367           1       10599           7
         760           1       10992           7
        1691           1        3249           2
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
         367           1       10599           7
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
         367           1       10599           7
         774           1       11109           7
        1808           2        5097           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
         367           1       10599           7
         774           1       11109           7
        1808           2        5097           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        6669           4        8227           5
         367           1       10599           7
         774           1       11109           7
        1808           2        5097           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        6145           4        8096           5
        6669           4        8227           5
         367           1       10599           7
         774           1       11109           7
        1691           1        3249           2
        1822           2        5083           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        6145           4        8096           5
        8882           6       10730           7
         367           1       10599           7
         774           1       11109           7
        1691           1        3249           2
        1808           2        5097           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        8882           6       10730           7
         367           1       10599           7
         774           1       11109           7
        1691           1        3249           2
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        6145           4        8096           5
         367           1       10599           7
        1691           1        3249           2
        1808           2        5097           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        5490           4        7310           5
        6145           4        8096           5
         367           1       10599           7
         774           1       11109           7
        1691           1        3249           2
        1808           2        5097           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
         367           1       10599           7
         774           1       11109           7
        1691           1        3249           2
        1808           2        5097           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        5490           4        7310           5
        6145           4        8096           5
         367           1       10599           7
         774           1       11109           7
        1691           1        3249           2
        1808           2        5097           3
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        5490           4        7310           5
         367           1       10599           7
        1691           1        3249           2
        2608           2        4035           3
        2870           2        4559           3
        3656           3        5345           4
        5490           4        7310           5
         367           1       10599           7
        1691           1        3249           2
        2608           2        4035           3
        3656           3        5345           4
        5490           4        7310           5
        6145           4        8096           5
