CC3162    OC3C61    CC3163
CC3162    CC3161    HCA1  
CC3162    CC3161    NH1   
CC3162    CC3161    CC3161
CC3162    OC301     CC3161
HCA1      CC3162    OC3C61
HCA1      CC3162    CC3161
HCA1      CC3162    OC301 
CC3163    CC3161    CC3161
CC3163    CC3161    HCA1  
CC3163    CC3161    OC311 
CC3163    CC321     HCA2  
CC3163    CC321     OC311 
HCA1      CC3163    OC3C61
HCA1      CC3163    CC3161
HCA1      CC3163    CC321 
OC3C61    CC3162    CC3161
OC3C61    CC3162    OC301 
OC3C61    CC3163    CC3161
OC3C61    CC3163    CC321 
CC3161    CC3162    OC301 
CC3161    NH1       H     
CC3161    NH1       CC    
CC3161    CC3161    HCA1  
CC3161    CC3161    OC311 
CC3161    CC3161    CC3161
HCA1      CC3161    NH1   
NH1       CC3161    CC3161
NH1       CC        O     
NH1       CC        CT3   
H         NH1       CC    
CC        CT3       HA3   
O         CC        CT3   
HA3       CT3       HA3   
CC3161    OC311     HCP1  
HCA1      CC3161    OC311 
CC3161    CC3163    CC321 
CC321     OC311     HCP1  
HCA2      CC321     HCA2  
HCA2      CC321     OC311 
CC3163    CC3161    OC301 
CC3161    OC311     CT1   
CC3161    CC3161    OC301 
OC311     CT1       HB1   
OC311     CT1       C     
OC311     CT1       CT3   
CT1       C         O     
CT1       C         NH1   
CT1       CT3       HA3   
HB1       CT1       C     
HB1       CT1       CT3   
C         CT1       CT3   
C         NH1       H     
C         NH1       CT1   
O         C         NH1   
HCA1      CC3161    OC301 
NH1       CT1       HB1   
NH1       CT1       CT3   
NH1       CT1       C     
H         NH1       CT1   
NH1       CT1       CC    
NH1       CT1       CT2   
CT1       CC        O     
CT1       CC        NH2   
CT1       CT2       HA2   
CT1       CT2       CT2   
HB1       CT1       CC    
HB1       CT1       CT2   
CC        CT1       CT2   
CC        NH2       H     
O         CC        NH2   
H         NH2       H     
CT2       CT2       HA2   
CT2       CT2       C     
HA2       CT2       HA2   
CT2       C         O     
CT2       C         NH1   
HA2       CT2       C     
CT2       CT1       C     
CT2       CT2       CT2   
CT2       CT2       NH3   
CT2       NH3       HC    
HA2       CT2       NH3   
HC        NH3       HC    
C         NH1       CTD1  
NH1       CTD1      HB1   
NH1       CTD1      CT3   
NH1       CTD1      C     
H         NH1       CTD1  
CTD1      CT3       HA3   
CTD1      C         O     
CTD1      C         NH1   
HB1       CTD1      CT3   
HB1       CTD1      C     
CT3       CTD1      C     
NH1       CTD1      CC    
CTD1      CC        OC    
HB1       CTD1      CC    
CT3       CTD1      CC    
OC        CC        OC    
CC3162    OC311     HCP1  
HCA1      CC3162    OC311 
OC311     CC3162    OC3C61
OC311     CC3162    CC3161
